Company,[Data Values],Sum
ExxonMobil,Production,132474.5
Chevron,Production,92984.46
ConocoPhillips,Production,65078.15
Hess,Production,14347.7
Murphy Oil,Production,4042.971
EQT Corporation,Production,33297.71
Ovintiv,Production,18399.66
Devon Energy,Production,21819.51
Occidental Petroleum,Production,37942.39
APA Corporation,Production,11485.84
Expand Energy,Production,32920.79
EOG Resources,Production,34283.83
Range Resources,Production,13426.26
PureWest Energy,Production,1087.701
EXCO Resources,Production,2639.877
Hunt Oil,Production,1624.583
Coterra Energy,Production,18267.44
Chord Energy,Production,4530.53
Berry Corporation,Production,321.8197
W&T Offshore,Production,354.6459
"1876 Resources, LLC",Production,314.089
1920 Energy LLC,Production,60.0789
44 Canyon LLC,Production,2.666849
677862 Alberta,Production,1.012329
89 Energy,Production,758.2921
AAG Energy,Production,322.0288
"Abaco Operating, LLC",Production,1.213151
Abraxas Petroleum,Production,19.08575
Adair International Oil and Gas Inc.,Production,1.547397
Admiral Permian Resources,Production,315.0742
Aethon Energy,Production,11958.25
Aexco Petroleum,Production,9.056166
Ageron Energy,Production,623.0518
AIX Energy,Production,1.769315
Aladdin Petroleum,Production,88.12793
Alaska Gasline Development Corporation (AGDC),Production,-6.27074E-05
Alchemist Energy,Production,188.9181
AleAnna Resources,Production,8.461645
Allegiant Resources,Production,2.093973
Allied Energy,Production,113.2255
Alpha Energy Holdings,Production,0.1249315
Alta Mar Energy,Production,0
Amaroq Resources,Production,0
AMCO Energy,Production,1.12269E-07
American Energy Group,Production,20.35918
Amoco,Production,0
Amplify Energy,Production,204.0751
Andrew Bachner,Production,1.727123
Andros Capital Partners,Production,21.10877
Anglo-Dutch,Production,0.002739726
Anschutz Exploration Corporation,Production,3598.054
Antero Resources,Production,13251.51
Antler Energy,Production,1.28
Apex,Production,3.545206
Aquila Energy,Production,3.310959
Arctic Circle Exploration,Production,27.78548
Arena Offshore,Production,112.946
Ark-La-Tex Energy LLC,Production,0.3216438
Arkoma Operations LLC,Production,0.130411
Armada Oil,Production,0
Armstrong Energy,Production,67.64411
Arsenal Resources,Production,2183.344
